Portfolio,Lease ID,Asset ID,Country,Tenant Name,Estimated Rental Value,Net Effective Rent,SQM,Space utilization,Peak space utilization
Warehouse REIT,L63564,W10249,Spain,Galaxy Graphics,49422418.68,52881987.01,49709.25885,64%,82%
Warehouse REIT,L34232,W10681,Spain,Zenith Marketing Grp.,86240516.08,90552542.07,81497.4283,59%,84%
Warehouse REIT,L43678,W10546,Spain,Horizon Law Firm,11369889.14,12052082.52,10847.7976,69%,90%
Warehouse REIT,L27039,W10165,Portugal,Crimson Catering,2036805.176,2220117.936,2131.93056,63%,87%
Warehouse REIT,L37601,W10783,UK,Alpine Adventures,2135693.844,2242478.012,2063.516701,87%,94%
Warehouse REIT,L32557,W10448,Sweden,Nexus Financial Grp.,18154192.2,19606527.64,20979.98113,55%,100%
Warehouse REIT,L52106,W10395,Netherlands,Horizon Healthcare Grp.,52945970.27,56652188.59,59485.848,75%,87%
Warehouse REIT,L47780,W10870,Spain,Phoenix Fitness Center,55924852.85,54806355.79,59739.26256,88%,89%
Warehouse REIT,L15649,W10350,Netherlands,Quantum Innovations,50182869.17,49681040.17,49681.34482,92%,100%
Warehouse REIT,L17441,W10623,Germany,Atlas Logistics,72894622.24,69978837.37,76977.95686,86%,100%
Warehouse REIT,L12363,W10434,Germany,SolarX Innovations,76289332.31,70186185.37,72994.46104,58%,81%
Warehouse REIT,L85357,W10038,Germany,Thunderbird Aerospace,67662146.28,66985525.16,60287.72201,61%,100%
Warehouse REIT,L82454,W10177,Spain,Celestial Studios,95730673.88,96687980.2,94754.54658,58%,68%
Warehouse REIT,L16761,W10117,UK,Moonlight Music Academy,80905106.68,74432698.13,74433.77557,65%,70%
Warehouse REIT,L42239,W10387,UK,Moonlight Music Academy,36795488.91,38635262.09,36703.40557,73%,100%
Warehouse REIT,L66659,W10634,Italy,Evolve Fitness Club,81851341.81,86762421.8,93703.41369,79%,100%
Warehouse REIT,L49175,W10150,Spain,Phoenix Fitness Center,71166159.25,78282775.18,79848.58392,82%,100%
Warehouse REIT,L54009,W10035,Netherlands,Horizon Healthcare Grp.,22251582.16,20916487.53,20498.49297,58%,100%
Warehouse REIT,L89920,W10017,Netherlands,Everest Expeditions,15464197.38,14536345.27,14246.10017,71%,100%
Warehouse REIT,L37499,W10675,UK,Quantum Quill Publishing,68691982.51,63883543.39,70272.64285,54%,61%
Warehouse REIT,L87959,W10203,Russia,Phoenix Pharmaceuticals,77046935.62,81669751.95,76770.13769,85%,100%
Warehouse REIT,L68628,W10229,Italy,Proxima Logistics,32276017.36,35180859.54,37644.92718,75%,100%
Warehouse REIT,L16193,W10175,Italy,Zenith Pharmaceuticals,25715431.77,25972585.86,27531.76326,68%,100%
Warehouse REIT,L42211,W10084,Portugal,BrightWave Marketing,44264658.62,42936718.03,42078.49073,88%,100%
Warehouse REIT,L60830,W10501,Spain,Zenith Marketing Grp.,55841091.99,59749967.7,63932.58682,56%,100%
Warehouse REIT,L13105,W10342,UK,Horizon Harmonics Music School,92916206.33,91057882.48,91968.505,83%,100%
Warehouse REIT,L88349,W10545,Russia,Aurora Engineering,94172543.38,84755289.17,85603.97511,67%,100%
Warehouse REIT,L60616,W10834,Spain,Verdant Valley Farms,59228861.69,64559458.47,69079.72412,80%,100%
Warehouse REIT,L41276,W10496,France,Luminous Events Planning,87510119.68,81384411.57,77315.38448,88%,100%
Warehouse REIT,L86767,W10927,UK,Moonlight Music Academy,65824864.78,65824864.39,61875.36358,82%,100%
Warehouse REIT,L12184,W10435,Portugal,Crimson Catering,79700340.02,83685357.24,86196.03557,67%,100%
Warehouse REIT,L22951,W10421,Sweden,Solaris Solutions,50978504.02,53527429.67,56204.20666,67%,100%
Warehouse REIT,L47251,W10013,Italy,Golden Gate Catering,8739591.128,8826987.654,8739.945004,69%,70%
Warehouse REIT,L79055,W10510,Spain,Phoenix Fitness Center,9476500.079,9192205.842,9744.179257,88%,100%
Warehouse REIT,L36580,W10451,France,LunaTide Productions,82901852.55,78756759.32,81119.02336,51%,77%
Warehouse REIT,L30918,W10597,Portugal,AquaTrek Adventures,62645670.92,66404410.08,71717.95645,95%,100%
Warehouse REIT,L89552,W10685,France,Moonlight Motors,96002806.66,99842918.33,90857.0346,91%,100%
Warehouse REIT,L39957,W10790,Sweden,Zenith Zen Spa,66529987.39,59876988.25,53889.26819,52%,100%
Warehouse REIT,L72226,W10556,Sweden,Elemental Designs,62729605.96,60847717.05,54763.19457,91%,100%
Warehouse REIT,L50673,W10652,Italy,SolarFlare Solar Panels,53663475.58,57956553.96,59116.26949,76%,100%
Warehouse REIT,L46442,W10074,Germany,SolarX Innovations,24861714.66,25110331.1,26868.99193,92%,100%
Warehouse REIT,L49749,W10720,UK,Harmony Health Services,49444547.97,45983429.23,46903.37582,89%,100%
Warehouse REIT,L64016,W10073,France,GreenEarth Sustainable Living,14003300.71,13583201.3,14670.78004,49%,54%
Warehouse REIT,L63219,W10001,France,LunaTide Productions,28798582,26782680.55,24104.15602,47%,100%
Warehouse REIT,L40387,W10315,UK,Quantum Quill Publishing,12505336.98,12130176.83,12979.87762,54%,75%
Warehouse REIT,L54755,W10152,Netherlands,Everest Expeditions,59340546.29,59933951.38,56338.59763,59%,100%
Warehouse REIT,L77544,W10101,Germany,Pacific Pearl Investments,59824208.28,61618934.33,64700.71187,71%,100%
Warehouse REIT,L16384,W10164,Germany,SolarX Innovations,57592140.76,62775433.22,65286.65881,90%,100%
Warehouse REIT,L43132,W10539,Netherlands,Sunbeam Technologies,3289849.902,3388544.555,3253.886343,89%,100%
Warehouse REIT,L73084,W10677,Germany,Galactic Gaming Studios,92852692.67,88210057.84,91738.26034,89%,100%
Warehouse REIT,L28601,W10326,Germany,Radiant Realty,2957345.322,2868625.054,2610.453501,76%,85%
Warehouse REIT,L12623,W10953,Netherlands,Celestial Travel Agency,53115915.61,56302870.53,59681.78538,87%,100%
Warehouse REIT,L55840,W10727,Sweden,Aquatic Adventures,10389549.94,11012922.54,12114.70311,83%,100%
Warehouse REIT,L63125,W10367,Sweden,Aquatic Adventures,58762691.24,62288452.7,61043.47063,81%,100%
Warehouse REIT,L75161,W10681,Spain,Zenith Marketing Grp.,16214718.34,15728276.9,15414.0615,48%,71%
Warehouse REIT,L87071,W10898,Sweden,Nexus Financial Grp.,69398137.33,70786100.78,69370.78837,61%,75%
Warehouse REIT,L64243,W10162,UK,Horizon Harmonics Music School,42979939.74,45988535.01,45989.97945,69%,100%
Warehouse REIT,L48736,W10980,Netherlands,Quantum Innovations,80731391.3,83960647.22,78083.92731,58%,100%
Warehouse REIT,L73779,W10519,Spain,Galaxy Graphics,86893382.62,94713786.17,90925.11233,80%,100%
Warehouse REIT,L84298,W10035,Netherlands,Horizon Healthcare Grp.,46904525.74,50187842.53,55207.85093,58%,100%
Warehouse REIT,L53278,W10967,Italy,OceanView Oil & Gas,52276066.82,52276066.33,54367.49805,67%,100%
Warehouse REIT,L24276,W10901,France,LunaTide Productions,63750575.92,63750575.77,66301.03416,100%,100%
Warehouse REIT,L66979,W10627,Spain,Celestial Studios,65704796.94,71618228.9,70186.02184,72%,86%
Warehouse REIT,L82371,W10599,Russia,Aurora Accounting Services,58379587.79,63633750.74,64906.48343,64%,100%
Warehouse REIT,L18525,W10342,UK,Horizon Harmonics Music School,21218408.31,22067144.02,19860.54998,87%,100%
Warehouse REIT,L26764,W10518,Russia,SolarWinds Engineering,96473366.05,89720230.85,98692.0275,86%,98%
Warehouse REIT,L81203,W10812,Germany,Galaxy Motors,9950352.239,10945387.87,9851.249067,78%,100%
Warehouse REIT,L72714,W10156,Portugal,TerraFirm Landscaping,44179755.71,40645375.23,36987.94493,51%,67%
Warehouse REIT,L15116,W10306,UK,SolarGlow Sustainable Energy,26230359.56,27804181.46,30585.19594,68%,100%
Warehouse REIT,L84594,W10728,Netherlands,NovaTech Consulting,74145562.24,68213917.09,70942.77135,88%,100%
Warehouse REIT,L61860,W10592,Sweden,Crystal Clear Pools,54818663.76,57011410.47,59292.25922,80%,100%
Warehouse REIT,L52424,W10989,Netherlands,Sunbeam Technologies,43864184.73,47373319.13,51163.02163,69%,100%
Warehouse REIT,L40363,W10280,France,Unity Web Solutions,37412343.59,40779454.16,40372.34911,99%,100%
Warehouse REIT,L89801,W10491,Russia,Envision Architects,30353539.36,29746468.13,30639.46332,52%,80%
Warehouse REIT,L42917,W10135,UK,Quantum Quill Publishing,53892524.37,51736823.78,54841.33198,77%,100%
Warehouse REIT,L31019,W10848,Germany,Thunderbird Aerospace,19211936.76,20748891.65,18674.92666,77%,100%
Warehouse REIT,L35652,W10152,Netherlands,Everest Expeditions,10050413.45,9246380.975,9524.454502,63%,100%
Warehouse REIT,L48700,W10582,Spain,Elemental Eats Catering,52159464,54245842.58,51534.84281,86%,100%
Warehouse REIT,L73855,W10319,Italy,Proxima Logistics,31991596.76,31671680.3,34205.05428,61%,100%
Warehouse REIT,L42700,W10930,Portugal,SolarWave Energy Solutions,90413618.63,95838435.46,87213.9658,57%,73%
Warehouse REIT,L68618,W10021,Portugal,Urban Fusion Architects,38989021.78,35090119.73,32283.50815,62%,100%
Warehouse REIT,L73603,W10389,Germany,EchoStar Communications,65282329.8,68546445.87,66490.16136,100%,100%
Warehouse REIT,L22584,W10245,Germany,Firefly Technologies,31714636.23,34251807.51,31854.93031,97%,100%
Warehouse REIT,L85859,W10908,Netherlands,NovaTech Consulting,3880174.431,4112984.445,4236.163392,85%,99%
Warehouse REIT,L79739,W10734,Russia,Oceanic Oil & Gas,70523073.85,70523073.96,71934.16402,56%,75%
Warehouse REIT,L13701,W10820,France,Unity Web Solutions,10759204.48,11297164.22,11749.98868,65%,100%
Warehouse REIT,L56364,W10620,Netherlands,Quantum Innovations,76547558.73,83436838.51,90112.90096,69%,77%
Warehouse REIT,L61689,W10217,France,Tranquil Waters Spa,98708361.78,104630863.3,97307.02188,77%,100%
Warehouse REIT,L89287,W10624,Portugal,BrightWave Marketing,11461064.91,11575675.96,10418.25608,59%,100%
Warehouse REIT,L13300,W10798,Spain,Starship Security Services,39844147.49,42633237.01,43912.61901,89%,100%
Warehouse REIT,L10936,W10773,Netherlands,Celestial Travel Agency,49063889.71,45138778.24,41979.12519,70%,89%
Warehouse REIT,L12001,W10194,Russia,Oceanic Oil & Gas,72652329.38,73378852.22,71177.9258,75%,100%
Warehouse REIT,L11033,W10936,UK,SolarGlow Sustainable Energy,21983354.74,22423021.6,23993.27014,61%,78%
Warehouse REIT,L22693,W10356,Russia,GlobalGreen Energy,41657434.2,42907157.61,43336.77139,76%,100%
Warehouse REIT,L55247,W10317,Germany,Galactic Gaming Studios,75680941.72,83249035.62,85747.75279,73%,100%
Warehouse REIT,L68845,W10980,Netherlands,Quantum Innovations,9206962.041,8378335.334,7708.338372,54%,97%
